代號	名稱	營收(億)	淨利(%)	ROA(%)	ROE(%)	EPS增減(元)	y
4930	燦星網	118	-0.88	-0.87	-1.64	-1.19	0
6616	特昇-KY	8.76	3.46	7.34	11.9	1.49	1
4991	環宇-KY	19.3	18.5	12.2	15.5	-1.07	0
6488	環球晶	462	11.4	8.07	21.2	-0.21	0
4198	環瑞醫	4.64	-89.5	-40.6	-61.4	-1.64	0
6492	生華科	0		-34.5	-35.8	-0.17	0
6622	百聿數碼	1.79	14.1	7.65	12.6	1.77	1
2236	百達-KY	20.7	7.71	7.22	12	-4.25	0
6499	益安	1.65	-165	-15.9	-17	-0.13	0
6461	益得	0.17	-1441	-11	-16.2	-0.35	0
6579	研揚	54.1	11.4	11.6	15.3	0.84	1
6682	碩鑽材料	4.59	-2.22	-0.66	-0.77	7.24	1
3706	神達	488	5.29	5.31	7.45	-2.29	0
5215	科嘉-KY	16.2	1.35	0.88	1.17	-1.06	0
4568	科際精密	12	13.8	11.8	21.3	-1.5	0
6597	立誠	3.91	6.6	4.81	12.2	1.08	1
5262	立達	27.9	-0.87	-1.87	-5.11	-0.98	0
2928	紅馬-KY	63	1.98	3.76	9.87	-2.66	0
6495	納諾*-KY	32.6	4.33	4.24	9.32	-0.16	0
1262	綠悅-KY	63	12.2	6.32	7.22	-6.93	0
6511	綠晁	9.29	-3.23	-3.12	-13.9	-0.1	0
6669	緯穎	857	1.41	6.49	50.1	3.04	1
6666	羅麗芬-KY	8.69	27.6	27.7	47.8	2.52	1
6403	群登	0.58	-88.4	-20.5	-23.4	-0.6	0
6539	翔宇	14.1	13.7	17.3	24	0.24	1
6562	聯亞藥	3.33	-50.3	-11.2	-15.7	0.42	1
4912	聯德控股-KY	42.6	7.39	7.9	20	-1.36	0
5286	育駿	3.06	-11.3	-10	-13.8	-0.81	0
2241	艾姆勒	4.1	-6.47	-1.53	-2.97	-3.53	0
6514	芮特-KY	4.5	9.69	6.45	8.46	-0.04	0
6695	芯鼎	8.87	-7.94	-8.94	-15.3	11.2	1
2239	英利-KY	189	7.17	5.88	12.7	-3.87	0
1592	英瑞-KY	51.2	5.31	3.83	8.71	-4.65	0
2248	華勝-KY	3.29	12.3	4.05	5.83	-3.29	0
6657	華安	0.05	-1359	-23.2	-27.7	2.47	1
6633	萊鎂醫	0		-45.9	-51.1	1.83	1
6573	虹揚-KY	20.9	8.5	6.53	13.2	0.76	1
5288	豐祥-KY	40.6	11.3	13.9	17.8	-0.8	0
6703	軒郁	8.86	10.8	20.6	34.3	12.1	1
6404	通訊-KY	3.1	-141	-43.2	-49	-0.55	0
3710	連展投控	0.57	-13.1	-0.09	-0.25	-2.15	0
6692	進能服	4.99	0.61	0.51	1.21	10.1	1
6576	逸達	0.24	-1869	-65.2	-77.6	0.78	1
5276	達輝-KY	7.57	1.28	1.21	1.61	-0.89	0
6586	醣基	0	-9999	-10.1	-10.2	0.99	1
6569	醫揚	13	8.94	10	13.2	0.68	1
6674	鋐寶科技	68.2	2.67	3.88	12.5	4.89	1
5264	鎧勝-KY	333	4.98	3.33	5.78	-0.92	0
6680	鑫創電子	3.17	16.2	17.5	25.2	5.84	1
3709	鑫聯大投控	34.6	0.81	0.9	2.39	-2.18	0
6712	長聖		0	-8.58	-8.77	12.6	1
6548	長華科	75.1	10.9	16	26.9	0.31	1
6542	隆中	21.8	-4.48	-6.88	-10.9	0.28	1
2726	雅茗-KY	19.9	7.67	10.6	23.3	-3.26	0
2748	雲品	15.3	14.9	12.2	19.8	-2.92	0
6493	雷虎生	2.3	11.9	7.1	9.58	-0.17	0
4139	馬光-KY	9.43	5.13	4.5	9.53	-1.97	0
1591	駿吉-KY	4.16	0.45	0.3	0.52	-4.66	0
6672	騰輝電子-KY	49.6	6.01	6.78	34	4.78	1
6547	高端疫苗		0	-17.2	-22.8	0.3	1
1256	鮮活果汁-KY	29.2	9.84	14.2	23.4	-7.73	0
4137	麗豐-KY	32.9	17.7	10.6	16.6	-1.99	0
4141	龍燈-KY	95.7	-1.6	-0.82	-2.44	-1.94	0
